state,county,total_population,percent_homeowners,percent_below_poverty,percent_fair_or_poor_health,percent_frequent_physical_distress,percent_adults_with_obesity,percent_frequent_mental_distress,percent_minorities,percent_insufficient_sleep,per_capita_income,percent_no_highschool_diploma,percent_unemployed_CDC,percent_excessive_drinking_cat,population_density_per_sqmi_cat
Louisiana,Iberville,33159,74.09782011,18.5,21.56592166,14.25280554,38.1,14.89470575,52.3,38.20699371,22397.0,22.6,7.2,high,under_populated
Louisiana,Evangeline,33765,65.76217741,28.0,24.98864985,16.65449766,39.3,17.1912351,32.6,37.82812846,18440.0,28.7,11.2,high,under_populated
Louisiana,Beauregard,36435,77.74415614,19.0,19.8806091,14.25085225,36.1,14.90582922,20.2,34.1964737,23141.0,15.5,7.0,high,under_populated
Louisiana,Natchitoches,39258,45.00341764,29.8,26.00375773,16.83260715,36.4,17.52536443,46.9,38.34861495,19178.0,16.5,12.1,high,under_populated
Louisiana,Orleans,382922,47.41553923,26.2,21.19276632,14.46690414,29.6,15.65301515,69.4,40.51621318,28444.0,14.3,9.8,high,extremely_populated
Louisiana,Jefferson,435204,61.48968294,16.1,20.21275946,13.53949771,33.4,13.83547521,45.9,37.49258953,28067.0,15.3,6.4,high,extremely_populated
Louisiana,East Baton Rouge,445337,58.89031512,19.5,19.9904705,13.77897727,31.9,14.94312736,54.5,35.46900377,29146.0,9.8,7.0,high,extremely_populated
Maine,Piscataquis,17044,75.58787549,20.6,15.24438697,11.98839219,36.6,14.02062461,4.5,34.35222885,22398.0,10.3,10.0,high,under_populated
Maine,Franklin,30270,79.17407125,14.1,14.0570048,11.40157277,34.1,12.906374,4.1,33.11375148,23596.0,7.6,6.9,high,under_populated
Maine,Washington,31925,76.43053745,18.0,17.62785565,12.71690673,32.6,14.36563944,9.8,34.15415381,23113.0,12.0,8.6,high,under_populated
Maine,Knox,39717,76.87689438,11.9,11.17356336,9.450509011,27.2,11.78460378,4.3,29.27761479,28413.0,6.9,5.6,high,over_populated
Maine,Somerset,51363,75.78135885,18.0,15.73655733,11.76666512,33.9,13.68109,3.9,35.41922026,21961.0,12.0,9.2,high,under_populated
Maine,Hancock,54483,75.37639425,12.1,12.96677119,10.58053742,24.9,12.33923762,4.7,30.58869611,30042.0,6.2,6.4,high,under_populated
Maine,Oxford,57299,80.50831171,16.7,13.64768876,10.86214593,33.2,13.29292757,4.3,31.92171382,21674.0,8.5,7.4,high,under_populated
Maine,Aroostook,69405,71.72541744,17.7,17.49279448,12.40331286,35.9,13.58487956,5.4,33.73995639,22483.0,12.6,6.2,low,under_populated
Maine,Penobscot,152978,69.70184157,16.3,15.21209102,11.60299059,33.7,13.74109061,5.8,33.40797455,25035.0,8.8,7.3,high,under_populated
Maine,York,200536,74.24747188,9.4,12.72386155,9.842572434,30.2,11.43797772,5.2,31.93398334,31574.0,7.6,5.1,high,extremely_populated
Maine,Cumberland,288204,68.74128152,11.1,9.004808874,9.086342489,23.3,11.36118983,9.1,28.98639574,35066.0,5.5,4.6,high,extremely_populated
Maryland,Kent,19819,69.25410872,12.0,13.09863954,10.1470135,29.7,12.43932372,21.8,29.83643471,30080.0,12.7,5.6,low,under_populated
Maryland,Somerset,25899,64.96480973,25.1,19.07214352,12.51714971,44.4,14.14171604,48.4,37.08055127,17143.0,20.8,8.4,low,average_populated
Maryland,Garrett,29677,78.01706287,12.7,13.86312504,10.68710126,37.2,12.78206175,3.2,31.71433783,25096.0,11.5,5.6,high,under_populated
Maryland,Wicomico,101527,59.17315408,16.3,15.30742338,11.32575703,36.1,13.13118559,35.6,33.49952887,26498.0,11.4,7.7,high,extremely_populated
Maryland,Cecil,102175,72.77010561,10.6,14.38886592,10.1873737,32.6,12.2530573,14.0,35.97311139,30676.0,11.9,6.6,high,extremely_populated
Maryland,St. Mary's,110675,70.82465536,7.8,12.99360432,9.350747414,36.4,10.96496716,24.5,33.29994332,36814.0,10.1,4.4,high,extremely_populated
